Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Leisure Suit Larry 6 - Shape Up Or Slip Out	765910	Adventure	Adventure, Point & Click, Sexual Content, Nudity, Classic, Comedy, 2D, Pixel Graphics, Mature	61	78.7	NA	6	7	NA	Assemble Entertainment, Sierra Entertainment	Assemble Entertainment	18-Dec-2017	NA	OS: Windows: XP \/ Vista \/ 7 \/ 8 \/ 10Processor: 1.8 GHz ProcessorMemory: 512 MB RAMGraphics: 3D graphics card compatible with DirectX 7Storage: 550 MB available space 	Memory: 1 GB RAMGraphics: 3D graphics card compatible with DirectX 9
Leisure Suit Larry 7 - Love for Sail	765890	Adventure	Adventure, Sexual Content, Nudity, Point & Click, 2D, Classic, Comedy, Funny, Singleplayer, Mature	164	85.4	NA	6	7	NA	Assemble Entertainment, Sierra Entertainment	Assemble Entertainment	22-Dec-2017	NA	OS: Windows: XP \/ Vista \/ 7 \/ 8 \/ 10Processor: 1.8 GHz ProcessorMemory: 512 MB RAMGraphics: 3D graphics card compatible with DirectX 7Storage: 600 MB available space 	Memory: 1 GB RAMGraphics: 3D graphics card compatible with DirectX 9
Les Quatre Alices	669280		Indie, Casual, Simulation, Visual Novel, Singleplayer, Short, RPGMaker, Female Protagonist, Interactive Fiction, Text-Based, Psychological Horror, Cartoony, Mystery, Multiple Endings	21	100	NA	0	2	NA		Paradise Project	28-Aug-2017	X	Requires a 64-bit processor and operating systemOS: Windows 7 or above (x64 ONLY)Processor: Intel Pentium 4 2.Ghz or aboveMemory: 512 MB RAMGraphics: 1024 x 768 pixels or higher desktop resolutionStorage: 325 MB available spaceSound Card: DirectX 9.0 Compatible Sound 	Requires a 64-bit processor and operating system
Let's Sing 2016	397820	Casual	Casual, Music	57	52.6	NA	No time registered yet	No time registered yet	NA	Voxler Games	Ravenscourt	21-Jan-2016	NA	OS: Windows® 7Processor: AMD Phenom™ II X4 840 Processor 3.2 GHz AM3Memory: 4 GB RAMGraphics: NVidia GeForce GT 520 1GBDirectX: Version 9.0cStorage: 5 GB available space 	OS: Windows® 7Processor: Intel® Core™ i5-2500 CPU @ 3.30GHzMemory: 4 GB RAMGraphics: NVidia GeForce GTX 550Ti 1,5GB \/ ATI Radeon HD 6570 1GBDirectX: Version 9.0cStorage: 5 GB available space
Let's Sing 2019	994310	Casual	Casual, Music	37	35.1	NA	0	7	NA	Voxler	Ravenscourt	15-Jul-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7+ x64Processor: 2.8 GHz dual-cores (2|2) \/ dual with hyper-threading (2|4)Memory: 4 GB RAMGraphics: AMD Vega 8\/11 (integ.), HD 6\/7000, GeForce GTX 4\/600 and Intel HD 530\/ UHD 630DirectX: Version 9.0c 	Requires a 64-bit processor and operating systemOS: Windows 10 x64Processor: 2.8 GHz dual-cores (2|2) \/ dual with hyper-threading (2|4)Memory: 8 GB RAM
Level 22	293300	Indie	Indie, Stealth, Comedy	93	88.2	NA	3	5	NA	Noego	Noego	NA	X	NA	NA
Lightwire	686000	Casual, Indie, Strategy	Strategy, Indie, Casual, Puzzle	1	100	NA	NA	NA	NA	nP Studios	nonPareil Institute	24-Aug-2017	NA	OS: Windows 7, Windows 8, or Windows 10Processor: Any processor with 2 CoresMemory: 2 GB RAMGraphics: AMD or NVIDIA videocard with at least 512MB, or Intel HD GraphicsStorage: 513 MB available space 	OS: Windows 7, Windows 8, or Windows 10Processor: Any processor with 2 CoresMemory: 4 GB RAMGraphics: AMD or NVIDIA videocard with at least 1024MBStorage: 513 MB available space
LillyMonster	1926790	Action, Casual, Indie, Simulation	Horror, Simulation, Anime, Cute, Singleplayer, Mystery Dungeon, Mystery, Dark Fantasy, Action, Sandbox, Runner, Casual, Dungeon Crawler, 3D, Sci-fi, Artificial Intelligence, Linear, Multiple Endings, Resource Management, Stealth	1	100	NA	NA	NA	NA	XeroStrykER__	XeroStrykER__	28-Mar-2022	X	OS: Windows 10Processor: Intel Pentium g3258Memory: 2 GB RAMGraphics: NVIDIA GeForce GTX 460DirectX: Version 12Storage: 1 GB available space	NA
Lines Infinite	733050	Casual, Indie, Strategy	Casual, Indie, Strategy, Puzzle, Relaxing, Minimalist, Abstract	458	91.3	NA	3	3	NA	Konstructors	Hook Games	24-Nov-2017	NA	OS: Windows 7+	NA
LINX BATTLE ARENA	697370	Action, Casual, Indie	Action, Indie, Violent, Casual, Gore, Multiplayer, Survival, Early Access, Character Action Game	33	69.7	NA	No time registered yet	No time registered yet	NA	Blueshift Media	Blueshift Media	29-Jan-2018	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: i5 or equivalentMemory: 2 GB RAMGraphics: 1 gigDirectX: Version 11Network: Broadband Internet connectionStorage: 1 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: i7 or equivalentMemory: 4 GB RAMGraphics: 2 gigDirectX: Version 11Network: Broadband Internet connectionStorage: 1 GB available space
Liquidator	716890	Action, Indie	Action, Indie	29	48.3	NA	NA	NA	NA	Ruaz.404	Ruaz.404	NA	X	NA	NA
Litil Divil	283430	Action, Adventure	Adventure, Action, Retro, Old School, Classic, 1990's, Puzzle	432	46.3	NA	12	0	NA	Gremlin Interactive	Funbox Media Ltd	19-Mar-2014	NA	OS: Windows XP\/Vista\/7\/8Processor: 1.8 GHz ProcessorMemory: 512 MB RAMGraphics: 3D graphics card compatible with DirectX 7	NA
Little Farm	15960	Casual	Farming Sim, Casual, Agriculture, Puzzle, Farming, Singleplayer	114	67.5	NA	10	12	NA	MumboJumbo	MumboJumbo	10-Jun-2008	NA	OS: Windows 2000 \/ XP Processor: 800MHz Memory: 256MB RAM Graphics: 64 MB DirectX 8.1 compatible graphics card or better Hard Drive: 167MB free HD space	NA
Little Inferno	221260	Adventure, Casual, Indie	Casual, Indie, Puzzle, Singleplayer, Funny, Satire, Short, Comedy, Great Soundtrack, Dark Humor, Adventure, Sandbox, Atmospheric, Story Rich, Dark, Touch-Friendly, 2D, Point & Click, Surreal, Parody 	10828	94.6	NA	3	4	NA	Tomorrow Corporation	Tomorrow Corporation	19-Nov-2012	NA	OS: Win 7, Vista and XP Processor:1.5 Ghz RAM: 1GB Hard Drive: 200 MB Video Card: You will need a graphics card that supports Shader Model 2.0 or greater and DirectX 9.0c.	NA
Living Legends: The Frozen Fear Collection	398620	Adventure, Casual	Casual, Adventure, Hidden Object, Point & Click	84	86.9	NA	7	10	NA	4Friends Games	Viva Media	13-Oct-2015	NA	OS: Windows® XP, Windows Vista®, Windows® 7, Windows® 8Processor: Pentium processor (or equivalent AMD® processor) 1.0 GHz or fasterMemory: 512 MB RAMGraphics: DirectX® compatible video cardSound Card: DirectX 9.0 compatible sound card	NA
loathe the game	1209300	Casual	NA	0	NA	NA	NA	NA	NA	Oddfellows Software	Oddfellows Software	10-Apr-2020	NA	OS: Windows 7Processor: 1 GHz ProcessorMemory: 512 MB RAMGraphics: The latest version of your graphics card driversAdditional Notes: A HTML5 compatible browser 	OS: Windows 7 or newerProcessor: 2 GHz dual-core processorMemory: 2 GB RAMGraphics: A nVidia or AMD graphics card with latest drivers.
