Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
MONSTER HUNTER RISE	1446780	Action	Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Co-op, Action RPG, JRPG, Third Person, Singleplayer, PvE, Anime, Fantasy, Nature, 3D, Dragons, Atmospheric, Ninja, Souls-like	65620	86.7	355	21	148	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	12-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i3-4130 or Core™ i5-3470 or AMD FX™-6100Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GT 1030 (DDR4) or AMD Radeon™ RX 550DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Low&quot;. System requirements subject to change during game development. 	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i5-4460 or AMD FX™-8300Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or AMD Radeon™ RX 570 (VRAM 4GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Average&quot;. System requirements subject to change during game development.
Grand Theft Auto V	271590	Action, Adventure	Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable	1490561	85.5	139	32	81	NA	Rockstar North	Rockstar Games	13-Apr-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) \/ AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB \/ AMD HD 4870 1GB (DX 10, 10.1, 11)Storage: 72 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com\/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software. 	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) \/ AMD X8 FX-8350 @ 4GHz (8 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB \/ AMD HD 7870 2GBStorage: 72 GB available spaceSound Card: 100% DirectX 10 compatible
Monster Hunter Stories 2: Wings of Ruin	1277400	Adventure, RPG	RPG, Adventure, JRPG, Exploration, 3D, Cartoony, Dragons, Third Person, Fantasy, Loot, PvE, Character Customization, Emotional, Creature Collector, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op	13929	82.2	137	40	143	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	08-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 3.20 GHz or AMD FX-6300™ or betterMemory: 4 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. If you don't have enough performance to run the game at your selected graphic quality, you must go to Options &gt; Graphics and decrease the resolution or adjust the quality setting. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 3.20 GHz or AMD FX-8300™ or betterMemory: 8 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	633055	91.5	122	55	133	X	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG	373293	86	110	48	396	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	09-Aug-2018	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;Low&quot;. - 64-bit processor and operating system are required. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F \/ AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 \/ AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;High&quot;. - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	610805	89.6	96	25	465	NA	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	13-Aug-2013	NA	OS: Windows 7Processor: 2 GHz Intel Dual Core ProcessorMemory: 4 GB RAMGraphics: Nvidia &amp; AMD (512MB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale 	OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia &amp; AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale
Spyro™ Reignited Trilogy	996580	Action, Adventure	Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Cute, Platformer, Colorful, Fantasy, Cult Classic, Great Soundtrack, Casual, Collectathon, Cartoony, Third Person, Atmospheric, Funny	16401	94.8	51	17	33	X	Toys for Bob, Iron Galaxy	Activision	03-Sep-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 (2 GB) | AMD Radeon HD 7850 (2 GB)DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible 	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i5-2500K | AMD FX-8350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 (2 GB) | AMD Radeon RX 480DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
Yu-Gi-Oh! Legacy of the Duelist	480650	Simulation	Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based	4357	84.6	50	17	65	X	Other Ocean Interactive	Konami Digital Entertainment, Inc.	07-Dec-2016	NA	Requires a 64-bit processor and operating systemOS: Windows 7x64, Windows 8x64 (64-bit OS Required)Processor: 2.5GHz CPUMemory: 2 GB RAMGraphics: 512MB DirectX 11.0 compatible video cardDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card 	Requires a 64-bit processor and operating systemOS: Windows 8x64 (64-bit OS Required)Processor: 3GHz CPUMemory: 4 GB RAMGraphics: 1GB DirectX 11.0 compatible video cardDirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card
Road Redemption	300380	Action, Adventure, Indie, Racing, Simulation	Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Adventure, Violent, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Funny, Rogue-like, Rogue-lite, Sports, Shooter	10746	82	43	6	26	X	EQ-Games , Pixel Dash Studios	Tripwire Presents	04-Oct-2017	NA	Requires a 64-bit processor and operating systemOS: Windows XP, VistaProcessor: 1.4GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 1.5GB of video memoryDirectX: Version 9.0Storage: 1000 MB available space 	Requires a 64-bit processor and operating systemOS: Windows 7, 8, 10Processor: 2GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 2GB of video memoryDirectX: Version 9.0Storage: 2500 MB available space
Fable Anniversary	288470	RPG	RPG, Open World, Fantasy, Adventure, Classic, Singleplayer, Remake, Action RPG, Atmospheric, Choices Matter, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny	11628	84.8	39	13	32	X	Lionhead Studios	Xbox Game Studios	12-Sep-2014	NA	OS: Windows 7\/8Processor: Intel 2GHz Core2 Duo \/ AMD Athlon 64 x2 2.4GHzMemory: 3 GB RAMGraphics: Radeon X1800\/ Nvidia GeForce 7600GTDirectX: Version 9.0Storage: 10 GB available space 	OS: Windows 7\/8 64bitProcessor: Intel Core2 Quad 2.33GHzMemory: 4 GB RAMGraphics: Nvidia GeForce GTX 260DirectX: Version 9.0Storage: 10 GB available space
Vampire Survivors	1794680	Action, Casual, Indie, RPG	Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, 2D, Indie, Vampire, Singleplayer, Casual, Action, RPG, Arcade, Controller, Action RPG, Retro, Score Attack, Rogue-like, Dark Fantasy, Early Access, 1980s	182094	98.8	39	10	40	NA	poncle	poncle	20-Oct-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64bitProcessor: Intel Pentium 4 processor or later that's SSE2 capableMemory: 1 GB RAMStorage: 400 MB available space 	Requires a 64-bit processor and operating system
Torchlight II	200710	Action, Adventure, Indie, RPG	RPG, Action RPG, Hack and Slash, Dungeon Crawler, Loot, Co-op, Fantasy, Online Co-Op, Multiplayer, Action, Adventure, Singleplayer, Indie, Moddable, Character Customization, Isometric, Replay Value, Steampunk, Atmospheric, Cartoon	41595	93	39	21	75	NA	Runic Games	Gearbox Publishing	20-Sep-2012	NA	OS: Windows XP SP3\/Vista\/Windows 7 Processor: x86-compatible 1.4GHz or faster processor Memory: 1GB System RAM Hard Disk Space: 1.7GB free space (subject to change) Video Card: DirectX compatible 3D graphics card with at least 256MB of addressable memory. DirectX®: 9.0c        Internet: A broadband internet connection (for Steam download and online multiplayer) - Online multiplayer requires a free Runic Account	NA
The Witness	210970	Adventure, Indie	Puzzle, Exploration, First-Person, Open World, Singleplayer, Colorful, Indie, Atmospheric, Difficult, Walking Simulator, Adventure, Mystery, Nonlinear, Relaxing, Philosophical, Casual, Surreal, Great Soundtrack, Story Rich, Sandbox	14872	85.2	35	17	41	NA	Thekla, Inc.	Thekla, Inc.	26-Jan-2016	NA	OS: Windows 7Processor: 1.8GHzMemory: 4 GB RAMGraphics: Intel HD 4000 seriesDirectX: Version 10Storage: 5 GB available space 	OS: Windows 7Processor: 2.4GHzMemory: 8 GB RAMGraphics: GeForce 780DirectX: Version 10Storage: 5 GB available space
Magic 2015	255420	Strategy	Card Game, Strategy, Trading Card Game, Magic, Multiplayer, Turn-Based, Fantasy, Singleplayer, Turn-Based Strategy, Adventure, Deckbuilding, Board Game	4048	45.2	34	10	51	NA	Stainless Games	Wizards of the Coast	16-Jul-2014	X	OS: Windows 8\/7\/Vista (XP not supported)Processor: 2GHz CPU (Pentium 4 or equivalent)Memory: 1 GB RAMGraphics: 512MB DirectX 9.0c compatible video card with Pixelshader 3.0 supportDirectX: Version 9.0cSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Memory: 1GB RAM (2GB for Vista and Windows 7)	NA
Yooka-Laylee	360830	Action, Adventure, Indie	Collectathon, 3D Platformer, Adventure, Kickstarter, Indie, Platformer, Colorful, Action, Family Friendly, Great Soundtrack, Exploration, Singleplayer, Cute, Funny, Retro, Casual, Open World, Comedy, Cartoony, Multiplayer	4719	75.9	33	15	25	X	Playtonic Games	Team17 Digital Ltd	11-Apr-2017	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (64bit)Processor: Intel i5-2500 3.3GHzMemory: 8 GB RAMGraphics: NVidia GTS450 \/ AMD Radeon 6850HDDirectX: Version 11Storage: 9 GB available spaceSound Card: Windows Compatible CardAdditional Notes: A Controller is STRONGLY recommended to play this game. 	Requires a 64-bit processor and operating system
Deadpool	224060	Action	Funny, Action, Superhero, Singleplayer, Comedy, Shooter, Gore, Dark Humor, Adventure, Third Person, Hack and Slash, Comic Book, Mature, Nudity, Memes, Third-Person Shooter, Story Rich, Beat 'em up, Multiplayer, Open World	3694	91.2	33	7	16	X	High Moon Studios	Activision	NA	X	NA	NA
Mercenary Kings	218820	Action, Adventure, Indie, RPG	Action, Indie, 2D, Co-op, Pixel Graphics, Platformer, Side Scroller, Local Co-Op, Adventure, Shooter, Crafting, RPG, Split Screen, Retro, Online Co-Op, Local Multiplayer, Shoot 'Em Up, Arcade, Kickstarter, Female Protagonist	2369	70.6	32	20	54	NA	Tribute Games Inc.	Tribute Games Inc.	25-Mar-2014	NA	OS:Vista or later Processor: Intel Core™ Duo or faster Video Card: OpenGL 3.0 compliant video card Memory: 2 GB RAM Hard Drive: 300 MB HD space	NA
N++	230270	Action	Precision Platformer, Local Co-Op, Local Multiplayer, 2D Platformer, Action, Parkour, Difficult, Level Editor, Minimalist, Indie, Ninja, Singleplayer, Puzzle-Platformer, Fast-Paced, Colorful, 4 Player Local, Arcade, Family Friendly, Physics, Multiplayer	2762	94.1	30	27	317	NA	Metanet Software Inc.	Metanet Software Inc.	25-Aug-2016	NA	OS: 32-bit Windows VistaProcessor: Core i3 \/ AMD A6 2.4GhzMemory: 2 GB RAMGraphics: 512MB VRAM NVIDIA GeForce 8xxx series \/ ATI Radeon HD 3xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it. 	OS: 64-bit Windows 7Processor: Core i5 \/ AMD FX 2.4GhzMemory: 4 GB RAMGraphics: 1024MB VRAM NVIDIA GeForce GTX 4xx series \/ ATI Radeon HD 5xxx series. OpenGL 3.3 supportStorage: 650 MB available spaceAdditional Notes: Integrated Intel graphics are not supported. Intel HD 4000-series or better should work, but may have issues. The game may run on Windows XP, but we have not been able to test it.
Dead Island	91310	Action, RPG	NA	15328	86.7	28	18	48	NA	Techland	Deep Silver	NA	X	NA	NA
Wasteland 2	240760	Adventure, Indie, RPG, Strategy	RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Adventure, Isometric, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG	7983	82.3	28	41	104	NA	inXile Entertainment	inXile Entertainment	18-Sep-2014	NA	OS: Windows XP\/Vista\/7\/8\/8.1\/10 (64 bit)Processor: Intel Core 2 Duo or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 260 or Radeon HD 4850 (512 MB VRAM)DirectX: Version 9.0cStorage: 30 GB available spaceSound Card: DirectX compatible sound card 	OS: Windows 7\/8\/8.1\/10 (64 bit)Processor: Intel i5 series or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 460 or Radeon HD 5770 (1 GB VRAM)DirectX: Version 10Storage: 30 GB available spaceSound Card: DirectX compatible sound card
resident evil 4 (2005)	254700	Action, Adventure	Inventory Management, Survival Horror, Action, Zombies, Horror, Third-Person Shooter, Singleplayer, Adventure, Classic, Third Person, Quick-Time Events, Atmospheric, Survival, Shooter, Gore, Replay Value, Remake, Great Soundtrack, Difficult, Multiplayer	55631	91.9	28	16	31	X	Capcom	Capcom	27-Feb-2014	NA	OS: Windows® 8 \/ Windows® 10Processor: Intel® Core™ 2 Duo 2.4 Ghz or better, AMD Athlon™ X2 2.8 Ghz or betterMemory: 2 GB RAMGraphics: NVIDIA® GeForce® 8800GTS or better, ATI Radeon™ HD 4850 or betterDirectX: Version 9.0cStorage: 15 GB available spaceSound Card: Standard audio device 	OS: Windows 8.1 \/ Windows® 10Processor: Intel® Core™ 2 Quad 2.7 Ghz or better, AMD Phenom™ II X4 3 Ghz or betterMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 560 or betterDirectX: Version 9.0cStorage: 15 GB available space
Unepic	233980	Action, Indie, RPG	RPG, Indie, Metroidvania, Platformer, Action, Comedy, 2D, Exploration, Fantasy, Adventure, Co-op, Singleplayer, Multiplayer, Funny, Side Scroller, Pixel Graphics, Retro, Magic, Epic, Online Co-Op	7616	92	27	18	43	NA	@unepic_fran	@unepic_fran	25-Jul-2014	NA	OS:Windows XP Processor:Dual Core Memory:4 GB GB RAM Graphics:256mb, Compatible with OpenGL DirectX®:7.0 Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first. Recomended:OS:Windows XP or later Processor:Quad Core Memory:8GB Graphics:Nvidia Geforce 512GB or more DirectX®:7.0 or later Hard Drive:256mb disk space Sound:Direct Sound installedNOTE: Some ATI graphics cards require troubleshooting because their drivers are not 100% compatible with OpenGL. If you have concerns, try running the demo first.	NA
Plants vs. Zombies: Game of the Year	3590	Strategy	Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Classic, Great Soundtrack, Family Friendly, Funny, Puzzle, Cute, Addictive, Survival, Indie, Tactical, Touch-Friendly, Adventure, Post-apocalyptic	98946	97.4	26	8	44	NA	PopCap Games, Inc.	PopCap Games, Inc., Electronic Arts	05-May-2009	NA	OS: Windows XP\/Vista\/7                     Processor: 1.2GHz+ processor                     Memory: 1GB of RAM                     Graphics: 128MB of video memory, 16-bit or 32-bit color quality                     DirectX: DirectX 8 or later                     Hard Drive: 65+MB of free hard drive space                     Sound: DirectX-compatible sound                    	NA
Mark of the Ninja	214560	Action, Adventure, Indie	Stealth, Platformer, Ninja, Indie, 2D, Action, Singleplayer, Side Scroller, Adventure, Assassin, Atmospheric, Controller, Replay Value, Puzzle, Cartoon, Dark, Short, Story Rich, Strategy, Casual	15728	97	25	8	20	X	Klei Entertainment	Microsoft Studios	NA	X	OS:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:AMD Phenom 9750 or Pentium D 800+ Memory:2 GB RAM Graphics:NVIDIA® GeForce® 7800 GT or ATI Radeon™ HD 3000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers 	OS:Windows XP SP3, Windows Vista SP2, Windows 7 SP1 Processor:Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory:2 GB RAM Graphics:NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better DirectX®:9.0c Hard Drive:2.5 GB HD space Sound:100% DirectX9.0c compatible sound card and drivers
The Whispered World Special Edition	268540	Adventure, Indie	Adventure, Point & Click, Indie, Singleplayer, Puzzle, Story Rich, Fantasy, Atmospheric, Great Soundtrack, Escape Room, Comedy, Hand-drawn, 2D, Funny	1685	75.7	25	10	13	X	Daedalic Entertainment	Daedalic Entertainment	06-May-2014	NA	OS: Windows Vista\/7Processor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 1 GB RAMGraphics: OpenGL 2.0 compatible with 256 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible 	OS: Windows Vista\/7\/8-32bitProcessor: 2.5 GHz (Single Core) or 2 GHz (Dual Core)Memory: 2 GB RAMGraphics: OpenGL 2.0 compatible with 512 MB RAM,  Shader Model 2.0 Support (Shared Memory is not recommended)DirectX: Version 9.0cStorage: 1800 MB available spaceSound Card: DirectX 9.0c compatible
The East New World	462950	Action, Adventure, Indie, RPG	Adventure, RPG, Action, Indie, Platformer	48	50	25	No time registered yet	No time registered yet	NA	TEN10 Games	TEN10 Games	26-Apr-2016	X	OS: Windows XP or aboveProcessor: 1.0 Ghz or aboveMemory: 1 GB RAMGraphics: Any DirectX 9.0 supported cardStorage: 500 MB available spaceSound Card: Any audio output	NA
Orcs Must Die! 2	201790	Action, Adventure, Indie, RPG, Strategy	Tower Defense, Co-op, Action, Strategy, Online Co-Op, Indie, RPG, Third Person, Adventure, Multiplayer, Third-Person Shooter, Comedy, Singleplayer, Cartoony, Shooter, Fantasy, Female Protagonist, Controller, Funny, Great Soundtrack	18241	93.7	23	8	42	NA	Robot Entertainment	Robot Entertainment	30-Jul-2012	NA	OS:Windows XP, Windows Vista, Windows 7 Processor:2GHz Dual Core Memory:2 GB RAM Graphics:NVIDIA GeForce 6800 or ATI Radeon x1950 or better with 256MB VRAM DirectX®:9.0c Hard Drive:9 GB HD space Additional:Broadband Internet connection recommended for co-op play. 	Other Requirements:Broadband Internet connection Additional:Broadband Internet connection recommended for co-op play.
Dust: An Elysian Tail	236090	Action, Adventure, Indie, RPG	Action, Platformer, Metroidvania, Indie, RPG, Adventure, 2D, Singleplayer, Fantasy, Great Soundtrack, Beat 'em up, Hack and Slash, Exploration, Story Rich, Controller, Beautiful, Side Scroller, Anime, Action RPG, Atmospheric	17736	95.6	23	10	18	X	Humble Hearts LLC	Xbox Game Studios	24-May-2013	NA	OS: Windows Vista Processor: Intel Core 2 Duo 2.8Ghz or equivalent Memory: 1 GB RAM Graphics: DirectX 10 compatible video card with shader model 3.0 support Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Keyboard OS: Windows 7 Processor: Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory: 2 GB RAM Graphics: NVIDIA® 9600GT or ATI Radeon™ HD 5000+ or better Direct X®: 10, Windows Media Player Hard Disk Space: 1.5 GB HD space Sound: 100% DirectX 9.0c compatible sound card and drivers Input: Mouse and Keyboard or XInput-compatible Gamepad	NA
DRAGON BALL XENOVERSE	323470	Action	Anime, Fighting, Action, Character Customization, Multiplayer, Co-op, Adventure, Singleplayer, RPG, Online Co-Op, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op	17219	89.1	23	17	91	NA	DIMPS	BANDAI NAMCO Entertainment	26-Feb-2015	NA	OS: Windows Vista (x64) \/ Windows 7 (x64)Processor: Intel Core 2 Duo 2.4Ghz \/ AMD Athlon 64 X2 5200+, 2.6GHzMemory: 2 GB RAMGraphics: 512 MB Nvidia GeForce 8800 \/ ATI Radeon HD 3870DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space 	OS: Windows Vista (x64) \/ Windows 7 (x64) \/ Windows 8 (x64)Processor: Intel Core i3-530, 2.93 GHz \/ AMD Phenom II X4 940, 3.0GHzMemory: 4 GB RAMGraphics: 1 GB Nvidia GeForce GTX 550Ti  \/ AMD Radeon HD 6790DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available space
METAL SLUG	366250	Action	Action, Arcade, 2D, Shoot 'Em Up, Retro, Classic, Side Scroller, Co-op, Multiplayer, Local Multiplayer, Shooter, Pixel Graphics, Local Co-Op, Funny, Platformer, Singleplayer, Adventure, Fast-Paced, Cartoony, Great Soundtrack	2928	89.4	22	1	2	X	Dotemu	SNK CORPORATION	25-Jun-2015	NA	OS: Windows Vista, 7, 8Processor: Pentium 4 2.4GhzMemory: 1 GB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0cStorage: 500 MB available space 	OS: Windows Vista, 7, 8Processor: 2 GHz Dual CoreMemory: 2 GB RAMGraphics: NVIDIA GeForce GT 640DirectX: Version 9.0cStorage: 500 MB available space
